,Unnamed: 0,ddc_barcode,ddc_ipcode,ddc_mch_code,ddc_mch_side,ddc_ev_subcode,ddc_ev_timestamp,c_machine,month,y-m-day,event_time,time:_cluster_label
0,10366,9440285363,26324,1403,L,CURING_ON_STOP,2022-12-21 04:08:34,False,12,22-12-21,0.0,0
1,10367,9440285363,26324,1403,L,CURING_OFF_START,2022-12-21 04:08:34,False,12,22-12-21,0.0,0
2,10370,9440285363,26324,1403,L,OP_SQUEEZE_OFF_START,2022-12-21 04:08:36,False,12,22-12-21,2.0,4
3,10371,9440285363,26324,1403,L,CURING_OFF_STOP,2022-12-21 04:08:36,False,12,22-12-21,0.0,0
4,10372,9440285363,26324,1403,L,OP_SQUEEZE_OFF_STOP,2022-12-21 04:08:37,False,12,22-12-21,1.0,4
5,10373,9440285363,26324,1403,L,OP_UNLOCK_PRESS_START,2022-12-21 04:08:37,False,12,22-12-21,0.0,0
6,10374,9440285363,26324,1403,L,OP_UNLOCK_PRESS_STOP,2022-12-21 04:08:38,False,12,22-12-21,1.0,4
7,10375,9440285363,26324,1403,L,OP_PRESS_MOVEMENT_UP_START,2022-12-21 04:08:38,False,12,22-12-21,0.0,0
8,10380,9440285363,26324,1403,L,OP_PRESS_MOVEMENT_UP_STOP,2022-12-21 04:08:42,False,12,22-12-21,4.0,5
9,10381,9440285363,26324,1403,L,OP_PRESS_STOP_PAUSE_1_START,2022-12-21 04:08:42,False,12,22-12-21,0.0,0
10,10388,9440285363,26324,1403,L,OP_PRESS_STOP_PAUSE_1_STOP,2022-12-21 04:08:47,False,12,22-12-21,5.0,1
11,10389,9440285363,26324,1403,L,OP_PRESS_MOVEMENT_UP_1_START,2022-12-21 04:08:47,False,12,22-12-21,0.0,0
12,10394,9440285363,26324,1403,L,UN_SWING_POSITION_STOP,2022-12-21 04:08:54,False,12,22-12-21,7.0,2
13,10395,9440285363,26324,1403,L,UN_SWING_POSITION_START,2022-12-21 04:08:54,False,12,22-12-21,0.0,0
14,10396,9440285363,26324,1403,L,UN_LMR_TCR_VACUUM_START,2022-12-21 04:08:54,False,12,22-12-21,0.0,0
15,10401,9440285363,26324,1403,L,OP_PRESS_MOVEMENT_UP_3_STOP,2022-12-21 04:08:58,False,12,22-12-21,4.0,5
16,10402,9440285363,26324,1403,L,OP_PRESS_LOCKED_START,2022-12-21 04:08:58,False,12,22-12-21,0.0,0
17,10403,9440285363,26324,1403,L,UN_LMR_TCR_VACUUM_STOP,2022-12-21 04:08:59,False,12,22-12-21,1.0,4
18,10404,9440285363,26324,1403,L,UN_SWING_IN_ARMS_START,2022-12-21 04:08:59,False,12,22-12-21,0.0,0
19,10405,9440285363,26324,1403,L,OP_PRESS_LOCKED_STOP,2022-12-21 04:08:59,False,12,22-12-21,0.0,0
20,10410,9440285363,26324,1403,L,UN_SWING_IN_ARMS_STOP,2022-12-21 04:09:06,False,12,22-12-21,7.0,2
21,10411,9440285363,26324,1403,L,UN_TCR_UP_START,2022-12-21 04:09:06,False,12,22-12-21,0.0,0
22,10414,9440285363,26324,1403,L,UN_TCR_UP_STOP,2022-12-21 04:09:12,False,12,22-12-21,6.0,1
23,10415,9440285363,26324,1403,L,UN_UNLOADER_DOWN_START,2022-12-21 04:09:12,False,12,22-12-21,0.0,0
24,10416,9440285363,26324,1403,L,UN_CLOSE_ARMS_START,2022-12-21 04:09:13,False,12,22-12-21,1.0,4
25,10417,9440285363,26324,1403,L,UN_CLOSE_ARMS_STOP,2022-12-21 04:09:14,False,12,22-12-21,1.0,4
26,10418,9440285363,26324,1403,L,UN_UNLOADER_DOWN_STOP,2022-12-21 04:09:15,False,12,22-12-21,1.0,4
27,10419,9440285363,26324,1403,L,UN_OPEN_ARMS_START,2022-12-21 04:09:15,False,12,22-12-21,0.0,0
28,10420,9440285363,26324,1403,L,UN_TCR_UP_NO_SUV_STOP,2022-12-21 04:09:16,False,12,22-12-21,1.0,4
29,10421,9440285363,26324,1403,L,UN_OPEN_ARMS_STOP,2022-12-21 04:09:16,False,12,22-12-21,0.0,0
30,10422,9440285363,26324,1403,L,UN_UNLOADER_UP_START,2022-12-21 04:09:16,False,12,22-12-21,0.0,0
31,10423,9440285363,26324,1403,L,UN_TCR_UP_NO_SUV_START,2022-12-21 04:09:16,False,12,22-12-21,0.0,0
32,10428,9440285363,26324,1403,L,UN_UNLOADER_UP_STOP,2022-12-21 04:09:21,False,12,22-12-21,5.0,1
33,10429,9440285363,26324,1403,L,UN_UNLOADER_OUT_START,2022-12-21 04:09:21,False,12,22-12-21,0.0,0
34,10432,9440285364,26324,1403,L,LO_LOADER_IN_PRESS_START,2022-12-21 04:09:25,False,12,22-12-21,4.0,5
35,10433,9440285363,26324,1403,L,UN_UNLOADER_OUT_STOP,2022-12-21 04:09:25,False,12,22-12-21,0.0,0
36,10436,9440285364,26324,1403,L,LO_LOADER_IN_PRESS_STOP,2022-12-21 04:09:28,False,12,22-12-21,3.0,5
37,10437,9440285364,26324,1403,L,LO_BLADDER_PRESHAPING_STOP,2022-12-21 04:09:28,False,12,22-12-21,0.0,0
38,10438,9440285364,26324,1403,L,LO_BLADDER_VACUUM_START,2022-12-21 04:09:28,False,12,22-12-21,0.0,0
39,10439,9440285364,26324,1403,L,LO_BLADDER_PRESHAPING_START,2022-12-21 04:09:28,False,12,22-12-21,0.0,0
40,10442,9440285364,26324,1403,L,LO_BLADDER_VACUUM_STOP,2022-12-21 04:09:30,False,12,22-12-21,2.0,4
41,10443,9440285364,26324,1403,L,LO_LOADER_DOWN_START,2022-12-21 04:09:30,False,12,22-12-21,0.0,0
42,10458,9440285364,26324,1403,L,LO_TCR_DOWN_STOP,2022-12-21 04:09:38,False,12,22-12-21,8.0,2
43,10459,9440285364,26324,1403,L,LO_LOADER_DOWN_STOP,2022-12-21 04:09:38,False,12,22-12-21,0.0,0
44,10460,9440285364,26324,1403,L,LO_TCR_DOWN_START,2022-12-21 04:09:38,False,12,22-12-21,0.0,0
45,10461,9440285364,26324,1403,L,LO_PRESHAPING_START,2022-12-21 04:09:38,False,12,22-12-21,0.0,0
46,10466,9440285364,26324,1403,L,LO_PRESHAPING_STOP,2022-12-21 04:09:48,False,12,22-12-21,10.0,3
47,10467,9440285364,26324,1403,L,LO_LOADER_RELEASE_TIRE_STOP,2022-12-21 04:09:48,False,12,22-12-21,0.0,0
48,10468,9440285364,26324,1403,L,LO_LOADER_UP_START,2022-12-21 04:09:48,False,12,22-12-21,0.0,0
49,10469,9440285364,26324,1403,L,LO_LOADER_RELEASE_TIRE_START,2022-12-21 04:09:48,False,12,22-12-21,0.0,0
50,10472,9440285364,26324,1403,L,LO_LOADER_UP_STOP,2022-12-21 04:09:53,False,12,22-12-21,5.0,1
51,10473,9440285364,26324,1403,L,LO_LOADER_OUT_START,2022-12-21 04:09:53,False,12,22-12-21,0.0,0
52,10477,9440285364,26324,1403,L,LO_LOADER_OUT_STOP,2022-12-21 04:09:57,False,12,22-12-21,4.0,5
53,10478,9440285364,26324,1403,L,CL_UNLOCK_PRESS_START,2022-12-21 04:09:57,False,12,22-12-21,0.0,0
54,10479,9440285364,26324,1403,L,CL_UNLOCK_PRESS_STOP,2022-12-21 04:09:58,False,12,22-12-21,1.0,4
55,10480,9440285364,26324,1403,L,CL_PRESS_DOWN_START,2022-12-21 04:09:59,False,12,22-12-21,1.0,4
