,Unnamed: 0,ddc_barcode,ddc_ipcode,ddc_mch_code,ddc_mch_side,ddc_ev_subcode,ddc_ev_timestamp,c_machine,month,y-m-day,event_time
0,10448,9440265504,26390,1506,R,OP_SQUEEZE_OFF_START,2022-12-21 04:09:35,False,12,22-12-21,0
1,10449,9440265504,26390,1506,R,CURING_ON_STOP,2022-12-21 04:09:35,False,12,22-12-21,0
2,10450,9440265504,26390,1506,R,CURING_OFF_STOP,2022-12-21 04:09:35,False,12,22-12-21,0
3,10451,9440265504,26390,1506,R,CURING_OFF_START,2022-12-21 04:09:35,False,12,22-12-21,0
4,10452,9440265504,26390,1506,R,OP_SQUEEZE_OFF_STOP,2022-12-21 04:09:36,False,12,22-12-21,1
5,10453,9440265504,26390,1506,R,OP_UNLOCK_PRESS_START,2022-12-21 04:09:36,False,12,22-12-21,0
6,10456,9440265504,26390,1506,R,OP_UNLOCK_PRESS_STOP,2022-12-21 04:09:38,False,12,22-12-21,2
7,10457,9440265504,26390,1506,R,OP_PRESS_MOVEMENT_UP_START,2022-12-21 04:09:38,False,12,22-12-21,0
8,10462,9440265504,26390,1506,R,OP_PRESS_MOVEMENT_UP_STOP,2022-12-21 04:09:41,False,12,22-12-21,3
9,10463,9440265504,26390,1506,R,OP_PRESS_STOP_PAUSE_1_START,2022-12-21 04:09:41,False,12,22-12-21,0
10,10464,9440265504,26390,1506,R,OP_PRESS_STOP_PAUSE_1_STOP,2022-12-21 04:09:46,False,12,22-12-21,5
11,10465,9440265504,26390,1506,R,OP_PRESS_MOVEMENT_UP_1_START,2022-12-21 04:09:46,False,12,22-12-21,0
12,10474,9440265504,26390,1506,R,UN_SWING_POSITION_STOP,2022-12-21 04:09:55,False,12,22-12-21,9
13,10475,9440265504,26390,1506,R,UN_SWING_POSITION_START,2022-12-21 04:09:55,False,12,22-12-21,0
14,10476,9440265504,26390,1506,R,UN_LMR_TCR_VACUUM_START,2022-12-21 04:09:55,False,12,22-12-21,0
15,10481,9440265504,26390,1506,R,OP_PRESS_MOVEMENT_UP_3_STOP,2022-12-21 04:10:00,False,12,22-12-21,5
16,10482,9440265504,26390,1506,R,OP_PRESS_LOCKED_START,2022-12-21 04:10:00,False,12,22-12-21,0
17,10483,9440265504,26390,1506,R,UN_LMR_TCR_VACUUM_STOP,2022-12-21 04:10:01,False,12,22-12-21,1
18,10484,9440265504,26390,1506,R,UN_SWING_IN_ARMS_START,2022-12-21 04:10:01,False,12,22-12-21,0
19,10485,9440265504,26390,1506,R,OP_PRESS_LOCKED_STOP,2022-12-21 04:10:01,False,12,22-12-21,0
20,10512,9440265504,26390,1506,R,UN_SWING_IN_ARMS_STOP,2022-12-21 04:10:34,False,12,22-12-21,33
21,10513,9440265504,26390,1506,R,UN_TCR_UP_START,2022-12-21 04:10:34,False,12,22-12-21,0
22,10522,9440265504,26390,1506,R,UN_TCR_UP_STOP,2022-12-21 04:10:44,False,12,22-12-21,10
23,10523,9440265504,26390,1506,R,UN_UNLOADER_DOWN_START,2022-12-21 04:10:44,False,12,22-12-21,0
24,10526,9440265504,26390,1506,R,UN_CLOSE_ARMS_STOP,2022-12-21 04:10:46,False,12,22-12-21,2
25,10527,9440265504,26390,1506,R,UN_CLOSE_ARMS_START,2022-12-21 04:10:46,False,12,22-12-21,0
26,10535,9440265504,26390,1506,R,UN_UNLOADER_DOWN_STOP,2022-12-21 04:10:49,False,12,22-12-21,3
27,10536,9440265504,26390,1506,R,UN_OPEN_ARMS_START,2022-12-21 04:10:49,False,12,22-12-21,0
28,10537,9440265504,26390,1506,R,UN_TCR_UP_NO_SUV_STOP,2022-12-21 04:10:50,False,12,22-12-21,1
29,10538,9440265504,26390,1506,R,UN_OPEN_ARMS_STOP,2022-12-21 04:10:50,False,12,22-12-21,0
30,10539,9440265504,26390,1506,R,UN_UNLOADER_UP_START,2022-12-21 04:10:50,False,12,22-12-21,0
31,10540,9440265504,26390,1506,R,UN_TCR_UP_NO_SUV_START,2022-12-21 04:10:50,False,12,22-12-21,0
32,10552,9440265504,26390,1506,R,UN_UNLOADER_UP_STOP,2022-12-21 04:10:58,False,12,22-12-21,8
33,10553,9440265504,26390,1506,R,UN_UNLOADER_OUT_START,2022-12-21 04:10:58,False,12,22-12-21,0
34,10554,9440265529,26390,1506,R,LO_LOADER_IN_PRESS_START,2022-12-21 04:11:01,False,12,22-12-21,3
35,10555,9440265504,26390,1506,R,UN_UNLOADER_OUT_STOP,2022-12-21 04:11:01,False,12,22-12-21,0
36,10558,9440265529,26390,1506,R,LO_LOADER_IN_PRESS_STOP,2022-12-21 04:11:04,False,12,22-12-21,3
37,10559,9440265529,26390,1506,R,LO_BLADDER_PRESHAPING_STOP,2022-12-21 04:11:04,False,12,22-12-21,0
38,10560,9440265529,26390,1506,R,LO_BLADDER_VACUUM_START,2022-12-21 04:11:04,False,12,22-12-21,0
